FileSpec	VMAF-Value	Bitrate
MAC_Compressed\DJI_0050_mac_qv73.mp4	99.8582	89315.38
MAC_Compressed\DJI_0050_mac_qv75.mp4	99.9018	96922.14
MAC_Compressed\DJI_0054_mac_qv54.mp4	84.8588	4846.27
MAC_Compressed\DJI_0054_mac_qv56.mp4	86.5346	5819.59
MAC_Compressed\DJI_0054_mac_qv59.mp4	88.1228	7021.68
MAC_Compressed\DJI_0054_mac_qv63.mp4	91.0711	11172.59
MAC_Compressed\DJI_0054_mac_qv61.mp4	89.6378	8776.38
MAC_Compressed\DJI_0054_mac_qv65.mp4	92.3132	14319.62
MAC_Compressed\DJI_0054_mac_qv67.mp4	93.4540	18787.22
MAC_Compressed\DJI_0054_mac_qv69.mp4	94.4232	24396.85
MAC_Compressed\DJI_0062_mac_qv54.mp4	90.1694	852.04
MAC_Compressed\DJI_0062_mac_qv56.mp4	90.9516	998.93
MAC_Compressed\DJI_0062_mac_qv59.mp4	91.6858	1165.50
MAC_Compressed\DJI_0062_mac_qv61.mp4	92.3981	1420.09
MAC_Compressed\DJI_0062_mac_qv63.mp4	93.0872	1772.91
MAC_Compressed\DJI_0054_mac_qv71.mp4	95.1807	30918.88
MAC_Compressed\DJI_0054_mac_qv73.mp4	96.3269	41378.86
MAC_Compressed\DJI_0054_mac_qv75.mp4	96.8044	50515.59
MAC_Compressed\DJI_0062_mac_qv65.mp4	93.7258	2246.07
MAC_Compressed\DJI_0062_mac_qv67.mp4	94.3339	2918.21
MAC_Compressed\DJI_0062_mac_qv69.mp4	94.8835	3776.34
MAC_Compressed\DJI_0062_mac_qv71.mp4	95.3511	4811.37
MAC_Compressed\DJI_0062_mac_qv73.mp4	96.1193	6216.58
MAC_Compressed\DJI_0062_mac_qv75.mp4	96.4590	7992.68
NVENC_QP_Compressed\DJI_0046_nvidia_qp18.mp4	98.2238	78392.99
NVENC_QP_Compressed\DJI_0046_nvidia_qp20.mp4	97.1809	57341.59
NVENC_QP_Compressed\DJI_0046_nvidia_qp22.mp4	95.5038	38999.69
NVENC_QP_Compressed\DJI_0046_nvidia_qp24.mp4	93.8665	26791.28
NVENC_QP_Compressed\DJI_0046_nvidia_qp23.mp4	94.6794	32274.18
NVENC_QP_Compressed\DJI_0046_nvidia_qp25.mp4	92.5450	20197.78
NVENC_QP_Compressed\DJI_0046_nvidia_qp19.mp4	97.7597	67697.12
NVENC_QP_Compressed\DJI_0046_nvidia_qp21.mp4	96.2577	46553.16
NVENC_QP_Compressed\DJI_0048_nvidia_qp18.mp4	99.9214	96261.49
NVENC_QP_Compressed\DJI_0048_nvidia_qp19.mp4	99.8499	86703.26
NVENC_QP_Compressed\DJI_0048_nvidia_qp20.mp4	99.7291	77095.94
NVENC_QP_Compressed\DJI_0046_nvidia_qp26.mp4	91.6457	16378.59
NVENC_QP_Compressed\DJI_0046_nvidia_qp27.mp4	90.7164	13404.17
NVENC_QP_Compressed\DJI_0046_nvidia_qp28.mp4	89.7265	10967.27
NVENC_QP_Compressed\DJI_0046_nvidia_qp29.mp4	88.6162	8909.60
NVENC_QP_Compressed\DJI_0046_nvidia_qp31.mp4	86.4274	6169.50
NVENC_QP_Compressed\DJI_0046_nvidia_qp30.mp4	87.6534	7529.20
NVENC_QP_Compressed\DJI_0046_nvidia_qp32.mp4	84.9899	4984.59
NVENC_QP_Compressed\DJI_0048_nvidia_qp21.mp4	99.4343	66414.40
NVENC_QP_Compressed\DJI_0048_nvidia_qp22.mp4	99.1390	58859.28
NVENC_QP_Compressed\DJI_0048_nvidia_qp24.mp4	98.1317	45829.72
NVENC_QP_Compressed\DJI_0048_nvidia_qp23.mp4	98.7351	52108.99
NVENC_QP_Compressed\DJI_0048_nvidia_qp25.mp4	96.5813	37106.20
NVENC_QP_Compressed\DJI_0048_nvidia_qp26.mp4	95.5823	32343.05
NVENC_QP_Compressed\DJI_0048_nvidia_qp27.mp4	94.4187	28183.01
NVENC_QP_Compressed\DJI_0048_nvidia_qp28.mp4	93.1262	24443.22
NVENC_QP_Compressed\DJI_0048_nvidia_qp29.mp4	91.4656	20963.38
NVENC_QP_Compressed\DJI_0048_nvidia_qp30.mp4	90.0650	18519.11
NVENC_QP_Compressed\DJI_0048_nvidia_qp31.mp4	88.3361	16063.27
NVENC_QP_Compressed\DJI_0048_nvidia_qp32.mp4	86.3520	13826.56
NVENC_QP_Compressed\DJI_0049_nvidia_qp18.mp4	99.9971	129661.16
NVENC_QP_Compressed\DJI_0049_nvidia_qp19.mp4	99.9904	117664.24
NVENC_QP_Compressed\DJI_0049_nvidia_qp20.mp4	99.9693	105431.96
NVENC_QP_Compressed\DJI_0049_nvidia_qp21.mp4	99.8204	91577.53
NVENC_QP_Compressed\DJI_0049_nvidia_qp22.mp4	99.6230	81510.53
NVENC_QP_Compressed\DJI_0049_nvidia_qp24.mp4	98.8055	63890.48
NVENC_QP_Compressed\DJI_0049_nvidia_qp25.mp4	97.2167	51726.40
NVENC_QP_Compressed\DJI_0049_nvidia_qp23.mp4	99.3033	72435.46
NVENC_QP_Compressed\DJI_0049_nvidia_qp26.mp4	96.1754	45103.63
NVENC_QP_Compressed\DJI_0049_nvidia_qp28.mp4	93.5601	33943.10
NVENC_QP_Compressed\DJI_0049_nvidia_qp27.mp4	94.9354	39227.43
NVENC_QP_Compressed\DJI_0049_nvidia_qp29.mp4	91.7993	28990.31
NVENC_QP_Compressed\DJI_0049_nvidia_qp30.mp4	90.3906	25537.62
NVENC_QP_Compressed\DJI_0049_nvidia_qp31.mp4	88.6536	22061.30
NVENC_QP_Compressed\DJI_0049_nvidia_qp32.mp4	86.6738	18928.01
NVENC_QP_Compressed\DJI_0050_nvidia_qp18.mp4	99.8581	111313.55
NVENC_QP_Compressed\DJI_0050_nvidia_qp19.mp4	99.8109	101090.72
NVENC_QP_Compressed\DJI_0050_nvidia_qp22.mp4	99.2800	70243.23
NVENC_QP_Compressed\DJI_0050_nvidia_qp20.mp4	99.7438	90686.95
NVENC_QP_Compressed\DJI_0050_nvidia_qp21.mp4	99.5408	78837.78
NVENC_QP_Compressed\DJI_0050_nvidia_qp23.mp4	98.9009	62446.30
NVENC_QP_Compressed\DJI_0050_nvidia_qp24.mp4	98.3005	55047.03
NVENC_QP_Compressed\DJI_0050_nvidia_qp25.mp4	96.6535	44471.29
NVENC_QP_Compressed\DJI_0050_nvidia_qp26.mp4	95.6298	38833.69
NVENC_QP_Compressed\DJI_0050_nvidia_qp28.mp4	93.1016	29347.93
NVENC_QP_Compressed\DJI_0050_nvidia_qp27.mp4	94.4393	33866.04
NVENC_QP_Compressed\DJI_0050_nvidia_qp29.mp4	91.3896	25138.17
NVENC_QP_Compressed\DJI_0050_nvidia_qp30.mp4	89.9521	22142.71
NVENC_QP_Compressed\DJI_0050_nvidia_qp31.mp4	88.1802	19148.94
NVENC_QP_Compressed\DJI_0050_nvidia_qp32.mp4	86.2023	16436.06
NVENC_QP_Compressed\DJI_0054_nvidia_qp18.mp4	96.6962	54832.15
NVENC_QP_Compressed\DJI_0054_nvidia_qp19.mp4	96.2758	44436.77
NVENC_QP_Compressed\DJI_0054_nvidia_qp20.mp4	95.8224	35304.11
NVENC_QP_Compressed\DJI_0054_nvidia_qp21.mp4	95.2717	27693.94
NVENC_QP_Compressed\DJI_0054_nvidia_qp22.mp4	94.7723	21994.57
NVENC_QP_Compressed\DJI_0054_nvidia_qp23.mp4	94.2845	17173.17
NVENC_QP_Compressed\DJI_0054_nvidia_qp24.mp4	93.8394	13338.18
NVENC_QP_Compressed\DJI_0054_nvidia_qp25.mp4	93.1443	9593.53
NVENC_QP_Compressed\DJI_0062_nvidia_qp18.mp4	96.4776	9205.17
NVENC_QP_Compressed\DJI_0054_nvidia_qp26.mp4	92.6105	7336.22
NVENC_QP_Compressed\DJI_0054_nvidia_qp27.mp4	92.0185	5743.72
NVENC_QP_Compressed\DJI_0054_nvidia_qp28.mp4	91.3364	4513.44
NVENC_QP_Compressed\DJI_0054_nvidia_qp29.mp4	90.5155	3503.43
NVENC_QP_Compressed\DJI_0054_nvidia_qp30.mp4	89.7644	2850.22
NVENC_QP_Compressed\DJI_0054_nvidia_qp31.mp4	88.7483	2254.83
NVENC_QP_Compressed\DJI_0054_nvidia_qp32.mp4	87.5414	1787.54
NVENC_QP_Compressed\DJI_0062_nvidia_qp19.mp4	96.2408	7062.21
NVENC_QP_Compressed\DJI_0062_nvidia_qp20.mp4	95.9971	5427.99
NVENC_QP_Compressed\DJI_0062_nvidia_qp21.mp4	95.6975	4208.98
NVENC_QP_Compressed\DJI_0062_nvidia_qp22.mp4	95.4370	3359.66
NVENC_QP_Compressed\DJI_0062_nvidia_qp23.mp4	95.1883	2680.99
NVENC_QP_Compressed\DJI_0062_nvidia_qp24.mp4	94.9376	2141.60
NVENC_QP_Compressed\DJI_0062_nvidia_qp25.mp4	94.5965	1621.76
NVENC_QP_Compressed\DJI_0062_nvidia_qp26.mp4	94.3386	1291.77
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp18_aq.mp4	97.3245	65683.97
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp19_aq.mp4	96.7173	55737.11
NVENC_QP_Compressed\DJI_0062_nvidia_qp27.mp4	94.0399	1022.28
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp20_aq.mp4	95.9944	46561.01
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp21_aq.mp4	94.8413	36585.36
NVENC_QP_Compressed\DJI_0062_nvidia_qp28.mp4	93.7393	834.94
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp22_aq.mp4	94.0752	30381.61
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp23_aq.mp4	93.2645	25020.76
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp24_aq.mp4	92.3827	20256.67
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp25_aq.mp4	91.0264	15066.77
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp26_aq.mp4	90.1169	12298.32
NVENC_QP_Compressed\DJI_0062_nvidia_qp29.mp4	93.4009	660.20
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp27_aq.mp4	89.2080	10120.96
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp28_aq.mp4	88.2269	8379.23
NVENC_QP_Compressed\DJI_0062_nvidia_qp30.mp4	93.0456	547.09
NVENC_QP_Compressed\DJI_0062_nvidia_qp31.mp4	92.6114	439.53
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp18_aq.mp4	99.6526	78395.81
NVENC_QP_Compressed\DJI_0062_nvidia_qp32.mp4	92.0779	357.59
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp19_aq.mp4	99.4447	69430.92
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp20_aq.mp4	99.1474	61168.48
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp21_aq.mp4	98.2415	51033.06
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp22_aq.mp4	97.4845	44371.31
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp29_aq.mp4	87.0177	6833.00
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp23_aq.mp4	96.5843	38478.29
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp24_aq.mp4	95.5340	33255.79
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp25_aq.mp4	93.4481	26678.51
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp26_aq.mp4	92.1761	23128.04
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp30_aq.mp4	85.7866	5585.95
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp31_aq.mp4	84.3806	4561.40
NVENC_QP_AQ_Compressed\DJI_0046_nvidia_qp32_aq.mp4	82.7940	3720.32
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp27_aq.mp4	90.7430	20069.61
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp28_aq.mp4	89.0989	17401.14
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp29_aq.mp4	87.1235	14886.21
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp30_aq.mp4	85.2758	12879.37
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp31_aq.mp4	83.2492	11126.30
NVENC_QP_AQ_Compressed\DJI_0048_nvidia_qp32_aq.mp4	81.1180	9626.57
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp18_aq.mp4	99.9620	106959.50
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp19_aq.mp4	99.8845	95764.43
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp20_aq.mp4	99.7347	85066.91
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp21_aq.mp4	99.0322	71217.57
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp22_aq.mp4	98.3179	62110.81
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp23_aq.mp4	97.3950	53987.78
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp24_aq.mp4	96.3292	46731.21
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp25_aq.mp4	94.0635	37358.16
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp26_aq.mp4	92.7402	32316.15
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp27_aq.mp4	91.2822	27959.34
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp28_aq.mp4	89.6578	24184.85
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp29_aq.mp4	87.6187	20616.60
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp30_aq.mp4	85.7380	17762.43
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp31_aq.mp4	83.7276	15288.42
NVENC_QP_AQ_Compressed\DJI_0049_nvidia_qp32_aq.mp4	81.5934	13146.59
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp18_aq.mp4	99.7273	91845.35
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp19_aq.mp4	99.5973	82077.45
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp20_aq.mp4	99.3682	72826.99
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp22_aq.mp4	97.7454	53145.36
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp21_aq.mp4	98.5090	60947.67
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp23_aq.mp4	96.8314	46184.34
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp24_aq.mp4	95.7957	40056.46
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp25_aq.mp4	93.6340	32113.99
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp26_aq.mp4	92.3264	27823.88
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp27_aq.mp4	90.8636	24119.06
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp28_aq.mp4	89.2267	20886.12
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp29_aq.mp4	87.2402	17854.38
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp30_aq.mp4	85.4198	15429.92
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp31_aq.mp4	83.4309	13298.46
NVENC_QP_AQ_Compressed\DJI_0050_nvidia_qp32_aq.mp4	81.3131	11455.03
